position,company,location,salary,summary
Principal Data Scientist,ASML,"San Jose, CA 95131 (North Valley area)",,Advanced Technology Development (ATD) Organization at ASML-Brion is looking for an experienced data scientist who has a passion to build data products and data...
AI Developer Technology Engineer,NVIDIA,"Santa Clara, CA",,"Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction...."
Deep-Learning Researcher,Intellipro Group Inc.,"Mountain View, CA",,Work closely with data scientists and product managers to define and design system architectures. Can work with scientists and product managers smoothly....
Machine Learning Engineer,imo.im,"Palo Alto, CA 94306 (Barron Park area)",,"Data plan reimbursement. Imo is a global messaging platform based in Palo Alto, California, and was founded and funded by one of the first ten employees at..."
"Senior Manager / Principal Data Scientist, Enterprise Data Science Office",Cisco,"San Jose, CA",,At least 6 years of Experience as a Data Scientist and Associate Data Scientist. Experience working with structured data and unstructured data....
Machine Learning Software Engineer (Threat Intelligence),Palo Alto Networks,"Santa Clara, CA 95054",,Work closely with teams of expert engineers and data scientists. The Palo Alto Networks Data Science team uses data science and machine learning to solve...
Data Sciences Engineer,A9.com,"Palo Alto, CA",,"The Sponsored Links team, part of the Advertising Technology group, is seeking a talented, energetic and self-driven Data Scientist to help us develop..."
Machine Learning / Deep Learning Research Engineer,"Faraday Future, Inc.","San Jose, CA",,"Master’s or Doctoral degree with 3+ years of experience in machine learning or adjacent fields (computer science, statistics, data mining, data science, big..."
"Sr. Computer Scientist, Web & Data",Adobe,"San Jose, CA",,"Our team oversees data architecture, data Engineering, insights and analytics across Creative Cloud and large parts of Digital Media...."
"Sr. Data Scientist, IoT Security",ForeScout,"San Jose, CA",,Work with a group of security researchers and data scientists to analyze unique context-rich endpoint and network traffic data collected through our cloud...
Big Data SQA Engineer,Palo Alto Networks,"Santa Clara, CA 95054",,Work alongside our research teams including data scientists to derive intelligence from our data. You will be working on our Cloud Services QA team who are...
Data Scientist,Stanford University,"Stanford, CA 94305",,Industry experience as a data scientist. Implement data analysis through statistical programming. The Data Scientist (Biostatistician 2) will with some...
Decision Scientist,Facebook,"Menlo Park, CA",,Statistical and data analysis/modeling skills (e.g. 5+ years of experience in data analysis. We are seeking a talented analyst who thrives at the Intersection...
Sr Data Analyst – VUDU,Walmart eCommerce,"Sunnyvale, CA",,"Sr Data Analyst – VUDU. Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to..."
"Decision Scientist, Marketing (WhatsApp)",Facebook,"Menlo Park, CA",,"The role will report into the director marketing and tap into a part of company-wide community of data scientists, data engineers and analysts:...."
Senior Data Analyst,Intellipro Group Inc.,"Mountain View, CA 94040",,3-5 years of experience in a data analyst or data scientist role. Senior Data Analyst. Hands on experience with data visualization and data visualization tools....
