position,company,location,salary,summary
Senior Quantitative Researcher in Education - REMOTE,Pearson,"San Francisco, CA",,"+ Proficiency in data processing, data mining, and data visualization. + Build data expertise and own data quality for allocated areas of efficacy data...."
Research Associate,Charles River Laboratories,"South San Francisco, CA 94080",,"Competency in reviewing data to ensure acceptability against defined specifications, emerging abilities to assess data quality and suitability under broader..."
Computer Vision Scientist/Engineer,Tesla Motors,"Palo Alto, CA",,"Experience with data science tools including Python scripting, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks, bash scripting, Linux environment...."
Computer Vision Scientist/Engineer,Tesla Motors,"Palo Alto, CA",,"Experience with data science tools including Python scripting, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks, bash scripting, Linux environment...."
Staff Business Data Analysis,Intuit,"Mountain View, CA 94039",,"We are seeking a Staff Analyst who will partner closely with Customer Success/Care leaders, product management, data engineering, data scientists and analysts..."
Senior Data Scientist,Mozilla,"Mountain View, CA 94041",,"As a Senior Data Scientist at Mozilla. As a Senior Data Scientist, you will be a member of the product development organization...."
Senior Data Scientist,SAP,"Palo Alto, CA",,"Data Scientist - SAP Innovation Center Network. As a Data Scientist, you will work in a team of experience experienced researchers and data scientists taking on..."
Sr Data Scientist - 47178BR,Aetna,"San Francisco, CA",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
Statistician,Walmart eCommerce,"San Bruno, CA 94066",,Walmart.com's new leadership are driving for data driven decision making across the entire organization. We continuously build and invest in new technology...
"Sr. Director, Retail Data Science",Walmart eCommerce,"San Bruno, CA 94066",,"Experienced professional in Data Science, Machine Learning, Artificial Intelligence, Semantic Technologies, Natural Language Processing, Image Mining, Pattern..."
Data Engineer,Collective Health,"San Francisco, CA",,You'll also work collaboratively with health data scientists and actuaries to productize insights derived from their analysis....
"Research Scientist, Motion Tracking and Machine Learning",Fitbit,"San Francisco, CA 94105 (Financial District area)",,"You will do a lot of experiments, often involving data collection from humans. We investigate a big set of problems from hardware development to embedded signal..."
"Platform Engineer, Fleet Analytics",Tesla Motors,"Palo Alto, CA",,Work with data engineers and data scientists to drive adoption of the platform. Have built and optimized Hadoop-based data platforms....
Senior Staff Clinical Data Scientist,"GRAIL, Inc.","Menlo Park, CA",,Participate in data quality review activities and efforts to resolve data quality issues. Develop and manage interactive data visualization and analytic tools...
"Platform Engineer, Fleet Analytics",Tesla Motors,"Palo Alto, CA",,Work with data engineers and data scientists to drive adoption of the platform. Have built and optimized Hadoop-based data platforms....
Statistician,Walmart eCommerce,"San Bruno, CA 94066",,Walmart.com's new leadership are driving for data driven decision making across the entire organization. We continuously build and invest in new technology...
"Applied Research Scientist, Speech Recognition Language Modeling",Facebook,"Menlo Park, CA",,Create language models from large corpora of text data in different languages using Hadoop/Hive. Facebook is seeking a Speech Recognition Research Scientist to...
"Applied Research Scientist, Speech Recognition Acoustic Modeling",Facebook,"Menlo Park, CA",,Facebook is seeking Speech Recognition Research Scientist to join our Speech Team in Menlo Park. Optimizing acoustic model training procedures especially...
"Sr. Director, Retail Data Science",Walmart eCommerce,"San Bruno, CA 94066",,"Experienced professional in Data Science, Machine Learning, Artificial Intelligence, Semantic Technologies, Natural Language Processing, Image Mining, Pattern..."
Sr. Data Scientist,Electronic Arts,"Redwood City, CA 94065",,"Work with a diverse team of data scientists and analysts to build robust, usable software for modeling, prediction and data exploration...."
Data Engineer,Walmart eCommerce,"Sunnyvale, CA",,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
Product Manager,Facebook,"Menlo Park, CA",,"You'll work closely with engineers, designers, data scientists and marketers to identify growth opportunities and build products for the rapidly expanding VR..."
Algorithm Engineer/Data Scientist,Motiv,"San Francisco, CA",,We are hiring an Algorithm Engineer/Data Scientist that is passionate about taking wearable technology to the next level....
"Postdoctoral Fellowship, Data Institute",University of San Francisco,"San Francisco, CA 94117 (Haight-Ashbury area)",,"Postdoctoral Fellowship, Data Institute. The Data Institute was founded in the summer of 2016 and serves to advance multidisciplinary research in data science,..."
Data Research Analyst,InventiveSMi,"San Francisco, CA",,Operates effectively as a member of the development team Responsible for meeting expectations and deliverables on time and in high quality. Responsible for...
Senior Data Analyst,Intellipro Group Inc.,"Mountain View, CA 94040",,3-5 years of experience in a data analyst or data scientist role. Senior Data Analyst. Hands on experience with data visualization and data visualization tools....
Intern: Data Science (Spatial Agronomic Modeling),The Climate Corporation,"San Francisco, CA",,"Collaborate fluidly with a diverse team of data scientists, agronomic domain experts, and software engineers in order to ensure the best possible research..."
Sr Data Scientist,Tesla Motors,"Fremont, CA",,"Experience with big data frameworks such as Hadoop/Spark and SQL. Design and implement big data workflows using Python, SQL, Hadoop, Spark, Matlab and R...."
"Senior Data Scientist, Maps",Uber,"San Francisco, CA 94103 (South Of Market area)",,Moving the needle in our most competitive markets through predictive modeling and end-to-end ownership of impact assessmentDevelopment of novel machine learning...
Senior Data Scientist - Automatic Labs,SiriusXM,"San Francisco, CA 94110 (Mission area)",,"Strong Data Exploration and Data Mining Skills (data visualization, feature reduction, and identification)...."
Junior Business Analyst Engineer,Sidecar,"San Francisco, CA",,"Validate data to ensury accuracy. For this position, we are looking for a talented data scientist, who will be working directly with developers, business owners..."
Brand Marketing Quantitative Researcher,Facebook,"Menlo Park, CA",,"Experience in data manipulation and analysis (R/SAS/Stata, SQL/Hive). Translate data insights into actions and recommendations that will drive brand sentiment,..."
Deep-Learning Researcher,Intellipro Group Inc.,"Mountain View, CA",,Work closely with data scientists and product managers to define and design system architectures. Can work with scientists and product managers smoothly....
"Lead Data Scientist, Data Center",Facebook,"Menlo Park, CA",,Leverage data and business principles to create and drive large scale FB Data Center programs. Experience using data access tools and building visualizations...
Machine Learning Specialist,Aurora Innovation Inc.,"San Francisco, CA",,Identify new areas (both online and offline) where machine learning can leverage data to enhance performance....
"Senior Data Scientist, Central Strategic Analytics",Zynga,"San Francisco, CA",,"Data mining, predictive modeling, statistics, experimental design, computational analytics, econometric modeling, data visualization...."
"Director, Engineering - Artificial Intelligence & Machine Learning",Sizmek,"Redwood City, CA",,How do you use the rich data we have about users to make predictions? Sizmek’s technology platform supports a real-time bidding system that handles over 100...
Machine Learning Engineer,Hired,"San Francisco, CA",,Strong understanding of all the data in the company and champion data collection from all sources. Generate innovative new features using external and internal...
Staff Machine Learning Engineer,Hired,"San Francisco, CA",,Strong understanding of all the data in the company and champion data collection from all sources. Generate innovative new features using external and internal...
Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Familiar with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning / data..."
"Data Engineering Manager, Analytics",Facebook,"Menlo Park, CA",,"Experience with data sets, Hive, and data visualization tools. Build cross-functional relationships with Data Scientists, Product Managers and Software..."
Data Sciences Engineer,A9.com,"Palo Alto, CA",,"The Sponsored Links team, part of the Advertising Technology group, is seeking a talented, energetic and self-driven Data Scientist to help us develop..."
Data Engineer - A9 Sponsored Products,A9.com,"Palo Alto, CA",,"You’ll work with research scientists, data scientists and econometricians to understand innovative modeling techniques, and software engineers across a wide..."
"Data Scientist / Senior Data Scientist, User Acquisition",Zynga,"San Francisco, CA",,"Senior Data Scientist, User Acquisition. Data mining, predictive modeling, statistics, experimental design, computational analytics, econometric modeling, data..."
Temporary Research Scientist I (Analytical),Exelixis Inc.,"South San Francisco, CA 94080",,Works on complex problems where analysis of situations or data requires an in-depth evaluation of various factors....
Machine learning and Data Analytics Researcher,ABB,"San Jose, CA 95134 (North San Jose area)",,"Join us, a better world begins with you!Our R&D center in San Jose, CA, with focus on technology and product development for business unit Robotics and welcomes..."
