position,company,location,salary,summary
SEDA Research Data Analyst,Stanford University,"Stanford, CA 94305",,"Documenting data generating processes of SEDA data set for technical and non-technical audiences. Identifying potentially problematic data, make corrections,..."
"Scientist, Oncology R&D",Cepheid,"Sunnyvale, CA",,Presents data at internal technical meetings. Analyzes data using statistical tools such as Microsoft Excel or Minitab....
Metric & Data Analyst Sr,Lockheed Martin,"Sunnyvale, CA 94089",,Understanding of back-end data structures. Computer Science or Data Analytics/Science degree. The Quality Assurance Enterprise Metrics and Analytics Team is...
Senior Data Analyst,Intellipro Group Inc.,"Mountain View, CA 94040",,3-5 years of experience in a data analyst or data scientist role. Senior Data Analyst. Hands on experience with data visualization and data visualization tools....
Research Scientist,Intel,"Santa Clara, CA 95052",,Visual data processing. This is an Intel contract employee (ICE) position....
Machine Learning Research Scientist,Paypal,"San Jose, CA",,Prior work experience with big data preferred. The AI & Machine Learning R&D Team in PayPal is looking for talented applied research scientist to work on deep...
Deep-Learning Researcher,Intellipro Group Inc.,"Mountain View, CA",,Work closely with data scientists and product managers to define and design system architectures. Can work with scientists and product managers smoothly....
"Scientist, Oncology R&D",Cepheid,"Sunnyvale, CA",,Presents data at internal technical meetings. Analyzes data using statistical tools such as Microsoft Excel or Minitab....
Deep Learning Inference Software Engineer (TensorRT),NVIDIA,"Santa Clara, CA",,"Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction...."
"Machine Learning Engineer, Amazon AI","Amazon Web Services, Inc.","Palo Alto, CA",,"You will gain hands on experience with Amazon’s heterogeneous speech, text, and structured data sources, and large-scale computing resources to accelerate..."
Machine Learning Engineer (REF 20170417JK),"Striim, Inc.","Palo Alto, CA",,"Unsupervised learning, inference, data mining, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar...."
Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Platform Engineer - Predictive Analytics Platform,Walmart eCommerce,"Sunnyvale, CA",,"Enable data scientists, business and product partners to fully leverage our predictive analytics platform for very large volumes of data...."
Machine Learning Software Engineer Intern,Raytheon,"Sunnyvale, CA",,"Raytheon Applied Signal Technology has a need for a Software Engineering Intern to help design, build, test, and maintain machine learning software for the..."
