position,company,location,salary,summary
Sr. Data Scientist,"Neustar, Inc.","Los Angeles, CA",,"Data Scientist (Open). Data Scientists work closely with various teams including data acquisition, data products, data sciences and various business units..."
Clinical Lab Scientist (LIS),AHMC Anaheim Regional Medical Center,"Anaheim, CA",,Current State of California Clinical Laboratory Scientist License. Participates in data collection and analysis as requested by management....
Clinical Lab Scientist,AHMC Anaheim Regional Medical Center,"Anaheim, CA",,Current State of California Clinical Laboratory Scientist License. Two years experience as a Clinical Laboratory Scientist in an acute care laboratory preferred...
Scheduler,Physical Optics,"Torrance, CA",,This individual will also have experience working with spreadsheets using Microsoft Excel and have the ability to export data between MS Project and MS Excel....
Senior Data Scientist,Restoration Media,"Irvine, CA 92614",,The Senior Data Scientist will leverage the business’s data to enhance business stakeholders capabilities for overall goal achievement....
Research Associate,USC,"Los Angeles, CA","$44,662 - $74,434 a year","The candidate will work in close collaboration with a diverse team consisting of cancer researchers, computational scientists and clinicians to generate and..."
Specialist Customer Technical Support,Beckman Coulter - Diagnostics,"Brea, CA",,Collects and analyzes data to enhance customer satisfaction. Scientists use our life science research instruments to study complex biological problems including...
Research Analyst - Los Angeles,Cushman & Wakefield,"Los Angeles, CA",,Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts....
Clinical Laboratory Scientist,AHMC Anaheim Regional Medical Center,"Anaheim, CA",,Current State of California Clinical Laboratory Scientist License. Two years experience as a Clinical Laboratory Scientist in an acute care laboratory preferred...
Scheduler,Physical Optics,"Torrance, CA",,This individual will also have experience working with spreadsheets using Microsoft Excel and have the ability to export data between MS Project and MS Excel....
Senior Statistician,UCLA HEALTH,"Los Angeles, CA",,"Under the supervision of the Manager of the Data Analysis team, the incumbent will lead statistical analysis and supervise data managers and graduate student..."
Senior Formulations Scientist,Nitto Avecia Pharma Services,"Irvine, CA 92618",,"Review, maintain and analyze the collected stability data. Perform statistical analysis to extrapolate and predict drug substance retest date and drug product..."
Sr. Data Scientist,"Neustar, Inc.","Los Angeles, CA",,"Data Scientist (Open). Data Scientists work closely with various teams including data acquisition, data products, data sciences and various business units..."
Research Associate,USC,"Los Angeles, CA","$44,662 - $74,434 a year","The candidate will work in close collaboration with a diverse team consisting of cancer researchers, computational scientists and clinicians to generate and..."
P873; RC; Inspector Research & Develop,BOEING,"Huntington Beach, CA 92647",,"Skilled scientists and thinkers. Record test data on appropriate forms, laboratory notebooks, or computer based data acquisition and processing equipment...."
Research Analyst - Los Angeles,Cushman & Wakefield,"Los Angeles, CA",,Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts....
Clinical Research Finance Analyst,University of California - Irvine,"Orange, CA",$23.58 - $32.06 an hour,"And provide financial data and reports on a routine and ad hoc basis. Under the supervision of the Clinical Research Business Manager, the Clinical Research..."
Senior Software Engineer (Data Analysis),zodiac,"Brea, CA",,"Proficiency with RDBMS systems, data analysis and data management. Working knowledge of data visualization tools...."
"Lead Data Scientist, Marketing (Aftershock)",Twentieth Century Fox,"Los Angeles, CA",,"The Lead Data Scientist, Marketing is responsible for the design and management of FoxNext Games’ marketing optimization platform, which guides our media buying..."
Exploratory Data Analysis Instructor,UCLA Extension,"Los Angeles, CA","$2,650 a month","The key goal of Data Science is to obtain insights from data. You will learn the iterative process of EDA, data analysis techniques, data exploration, and..."
