position,company,location,salary,summary
"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"Los Angeles, CA","$58,416 - $72,571 a year","Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets..."
"Senior Analyst, Quantitative Research",Kelton Global LLC,"Los Angeles, CA",,WHO WE ARE: Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and...
Fraud Data Scientist,Stamps.com,"El Segundo, CA 90245",,"Analyze large data sets to identify behavior trends among good users and bad actors, using pattern recognition techniques that include statistics, data mining,..."
Electro-Optical Sensor Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Perform data analysis of simulated and real electro-optical sensor data. Experience analyzing OPIR data from one or more sensors and/or experience developing...
Mathematician/Numerical Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Perform orbit determination for a variety of satellite missions using real and simulated data. Our state-of-the-art laboratory facilities are staffed by some of...
Research Scientist,SDL,"Los Angeles, CA 90045",,"Hands-on experience with large-scale data processing. As a Research Scientist, you will assist in shaping the...."
Senior Statistician,UCLA HEALTH,"Los Angeles, CA",,"Under the supervision of the Manager of the Data Analysis team, the incumbent will lead statistical analysis and supervise data managers and graduate student..."
Sr. Data Scientist,"Neustar, Inc.","Los Angeles, CA",,"Data Scientist (Open). Data Scientists work closely with various teams including data acquisition, data products, data sciences and various business units..."
Battery Scientist / Engineer,The Aerospace Corporation,"El Segundo, CA 90245",,Experience maintaining accurate test data. Assists senior scientists and engineers with research. Perform analysis of cell and battery test data in order to...
Sr. Data Scientist,"Neustar, Inc.","Los Angeles, CA",,"Data Scientist (Open). Data Scientists work closely with various teams including data acquisition, data products, data sciences and various business units..."
Research Associate,USC,"Los Angeles, CA","$44,662 - $74,434 a year","The candidate will work in close collaboration with a diverse team consisting of cancer researchers, computational scientists and clinicians to generate and..."
Data Analysis Specialist,Telecare Corporation,"Long Beach, CA",,"Verifies accuracy of data. Oversees that data is collected accurately and on time. The Data Analyst is responsible for coordinating all Caminar, Avatar and EHR..."
Research Analyst - Los Angeles,Cushman & Wakefield,"Los Angeles, CA",,Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts....
"Lead Data Scientist, Marketing (Aftershock)",Twentieth Century Fox,"Los Angeles, CA",,"The Lead Data Scientist, Marketing is responsible for the design and management of FoxNext Games’ marketing optimization platform, which guides our media buying..."
Data Scientist,Neural Analytics,"Los Angeles, CA 90064",,"Neural Analytics, a medical device company, is seeking a Data Scientist to support development of innovative, data-driven brain health diagnostics...."
Data Scientist,Riot Games,"Santa Monica, CA 90404",,Work closely with fellow data scientists and engineers to identify opportunities and improve our data ecosystem. Big data passionate:....
Exploratory Data Analysis Instructor,UCLA Extension,"Los Angeles, CA","$2,650 a month","The key goal of Data Science is to obtain insights from data. You will learn the iterative process of EDA, data analysis techniques, data exploration, and..."
Cost Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Data collection and normalization; Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....
Battery Scientist / Engineer,The Aerospace Corporation,"El Segundo, CA 90245",,Experience maintaining accurate test data. Assists senior scientists and engineers with research. Perform analysis of cell and battery test data in order to...
Research Analyst,Mount St. Mary's College,"Los Angeles, CA 90007",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
Business Analyst,ZestFinance,"Los Angeles, CA",,Work closely with our team of data scientists who build machine learning models; Applies its unique credit-decisioning technology platform — based on data...
Analyst,Riot Games,"Los Angeles, CA",,"As an Analyst, you’ll join the Insights discipline – the group of researchers, analysts, data scientists and strategists responsible for solving problems and..."
Research and Data Processing Analyst,Los Angeles Universal Preschool,"Los Angeles, CA",,"Coordinate, conduct, and oversee data collection, data entry and data cleaning and ensure quality control (e.g., surveys, direct assessment, observations,..."
Data Analysis Specialist,PRN Ambulance,"North Hills, CA",,The Data Analysis Specialist is responsible for verifying that all transport information is complete and consistent with call intake data....
Cost Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Data collection and normalization; Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....
Operations Research Analyst,Southern California Gas Company,"Los Angeles, CA",,"Write software, set up functions, enter data, or process information. Define data requirements and gather and validate information, applying judgment and..."
"Manager, Data Analysis/Reporting - Home Entertainment",Sony Pictures Entertainment Inc.,"Culver City, CA 90232",,"Manager, Data Analysis/Reporting - Home Entertainment. Improve efficiency of data ingestion and data blending from various disparate sources leveraging SQL, VBA..."
"Quantitative Analyst, Health Research Microsimulation",USC,"Los Angeles, CA",,"Manages large data files. Experience with large administrative databases, survey data, claims data, electronic health records data Demonstrated creativity and..."
"Thermal Analyst, 2018 Graduate Intern",The Aerospace Corporation,"El Segundo, CA 90245",,"Compare flight data to pre-launch predictions. Assist in post-processing launch vehicle flight data. Experience in data collection, processing, analysis, and..."
Market Research Analyst (Corporate and Political),Benenson Strategy Group,"Santa Monica, CA",,"They are creative, intellectually curious, and have an interest in translating data into actionable insights...."
"Scientist, Analytical Development","Kite Pharma, Inc.","Santa Monica, CA",,"Train technical staff, assign duties, and review data. Excellent skill in Microsoft Office, data analysis software, and other applications...."
Spanish Speaking Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA","Estimated salary: $62,000 - $79,000 a year","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Russian Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA","Estimated salary: $63,000 - $80,000 a year","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Japanese Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA","Estimated salary: $63,000 - $80,000 a year","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Farsi Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA","Estimated salary: $64,000 - $81,000 a year","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA","Estimated salary: $65,000 - $83,000 a year","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Chinese Speaking Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA","Estimated salary: $63,000 - $80,000 a year","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
"Director, Data Science",ZestFinance,"Los Angeles, CA",,"3+ years managing a team of data scientists. Lead a team of 10+ data scientists in developing high-quality, robust predictive algorithms...."
Machine Learning Engineer,Oben,"Pasadena, CA",,"As a member of the machine language translation team, you utilize your superior technical aptitude and deep understanding of Machine Learning and Natural..."
Scientist,Exponent,"Los Angeles, CA 90066",,"Providing case management, data processing, and other project support; Exponent's Human Factors Practice is seeking a Scientist for our Los Angeles, CA office...."
"Research Analyst, Institutional Planning and Research, Doheny Campus",Mount Saint Mary's University,"Los Angeles, CA",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
"Manager, Machine Learning Modeler / Data Scientist",ZestFinance,"Los Angeles, CA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
Senior Data Scientist,Ticketmaster,"Hollywood, CA 90028",,Carry out tasks encompassing data cleansing and data normalization. Be collecting and analyzing very large data sets....
Lead or Principal Data Scientist,NBCUniversal,"Beverly Hills, CA",,"Utilize a variety of rich data sources such as transactional, web data, social data, emails, and streaming data...."
Research Assistant - Arabic (Bachelor's level),RAND,"Santa Monica, CA 90401",,"Research Assistants work with teams of experienced researchers, including software developers, engineers, physicists, policy scientists, and economists...."
Administrative Assistant/Receptionist,HDR,"Los Angeles, CA 90017",,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
Scientist,Physical Optics,"Torrance, CA",,"A fast-growing Southern California high-tech company specializing in military defense, homeland security, and energy solutions is seeking a hand-on Scientist..."
Head of Data Science,FabFitFun,"Los Angeles, CA",,"Solid understanding of the Data Scientist project lifecycle processes including:. Continuously refine the set of priorities for a team of Data Scientists, Data..."
