position,company,location,salary,summary
Data Scientist,BlueVine,"Redwood City, CA",,"We are looking for a experienced Data Scientist to join BlueVine’s growing Data Science team in Redwood City, CA and lead our efforts at modeling and..."
Data Scientist,Oracle,"Redwood City, CA",,Deep experience with Data Science and Data Science Platforms. We are building an exciting new Platform for Data Science and Machine Learning at Oracle and...
Data Scientist,Upstart,"San Carlos, CA",,We're looking for someone to join our data team and help change how creditworthiness is assessed. Predictive modeling is central to us at Upstart....
"Research Scientist, Advanced Analytics","Hitachi America, Ltd.","Santa Clara, CA 95054",,"R&D/Big Data Lab. ) has an opening for a Research Scientist, Advanced Analytics in the Big Data Laboratory located in Silicon Valley...."
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"Silicon Valley, CA",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
Data Scientist,Shutterfly,"Redwood City, CA",,The Data Scientist will be responsible for designing and directing experiments and observational studies to optimize our customer acquisition and engagement...
"Data Scientist, Analytics",Facebook,"Menlo Park, CA",,We’re looking for Data Scientists to work on our core and business products (ex. Experience manipulating data sets through statistical software (ex....
"Software Engineer, Computer Vision and Machine Learning",Osmo,"Palo Alto, CA",,"Tangible Play, Inc. seeks Software Engineer, Computer Vision and Machine Learning in Palo Alto, CA to be responsible for researching, developing, and..."
Research & Development Scientist and Engineer 2,Stanford University,"Stanford, CA 94305",,The position involves working with a team of data scientists and engineers to examine pressing issues in public policy....
Sr. Principal Data Scientist,Veritas Technologies,"Mountain View, CA",,"Enterprise Data Management. Intelligent enterprise data management platform, multi-cloud data protection solution, and software defined storage offering...."
Machine Learning Software Engineer,Qeexo,"Mountain View, CA 94043",,"Data Structures and Algorithms (proficient). Comfortable working in a terminal environment, writing scripts (Bash/Python) to process data...."
Research Scientist - Neurodegenerative Disease,"Inscopix, Inc.","Palo Alto, CA 94303 (Duveneck-Saint Francis area)",,"You will have unique opportunities to work in close collaboration with an interdisciplinary team of driven neuroscientists, physicists, engineers, and data..."
Data Scientist - Advanced Analytics (Palo Alto),Uber,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",,Data Scientists on Driver play a central role in guiding product development and strategy through the discovery of insights from data....
Staff Research Scientist,Criteo,"Palo Alto, CA 94301 (Professorville area)",,"Understand and shape the product direction by contributing innovative ideas, specifically as a result of data mining and experimental data modeling...."
Machine Learning Intern,Xilinx,"San Jose, CA 95124 (Cambrian Park area)",,Xilinx is looking for a talented individual to intern in the Signal Processing team for a position in the area of Machine Learning. The ideal candidate would...
Sr. Data Scientist,Electronic Arts,"Redwood City, CA 94065",,"Work with a diverse team of data scientists and analysts to build robust, usable software for modeling, prediction and data exploration...."
Principal Data Scientist,Intuit,"Mountain View, CA 94039",,Intuit is looking for innovative and hands-on data scientists for the Global Risk and Compliance Decision Sciences team....
Economist/Data Scientist,Houzz,"Palo Alto, CA 94301 (Professorville area)",,Guide data collection efforts and identify opportunities for new data generation. A knack for visualizing data in innovative and compelling formats;...
Principal Machine Learning Research Engineer,Symantec,"Mountain View, CA",,"Deep learning models for mixed categorical and numeric data, sequential data and unlabeled data. Embeddings for mixtures of high-cardinality categorical,..."
"Data Scientist, Data Center",Facebook,"Menlo Park, CA",,Leverage data and business principles to create and drive large scale FB Data Center programs. Experience using data access tools and building visualizations...
Computational Research Associate,Stanford University,"Stanford, CA 94305",,"The candidate will interact with other computational scientists, as well as experimental biologists and clinicians to test, validate, and refine hypotheses...."
Machine Learning Engineer,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
"Curriculum Developer, Deep Learning Institute",NVIDIA,"Santa Clara, CA",,"Developing effective curriculum and training content for data scientists, researchers, and engineers. The work involves collaborating with internal and external..."
"Reseach Scientist Intern, Machine Learning/Deep Learning",KLA-Tencor,"Milpitas, CA 95035",,We are looking for a candidate who is passionate on Machine Learning and Deep Learning research for image processing and computer vision applications. The...
Data Scientist,the Neura,"Sunnyvale, CA 94089",,"Bring a creative flair to complex problems (we have a lot of those), feel at home playing with rich large-scale data (Location:...."
Data Scientist,LumenData,"Santa Clara, CA 95054",,LumenData is looking for a Data Scientist to lead client engagements. That’s what makes the Data Scientist role at LumenData so fun and exciting!...
Data Scientist,Proofpoint,"Sunnyvale, CA 94089",,"Must have been in the role of data scientist for at least 3 years. Mine data using state-of-the-art methods. Collect data, clean, visualize, build model, train,..."
Data Scientist/Analytics Engineer (Machine Learning and Big Data),FICO,"San Jose, CA 95110 (Downtown area)",,"This includes the analysis of large amounts of historical data, determining suitability for modeling, data clean-up and filtering, pattern identification and..."
Medical Image Analysis / Machine Learning Intern,Intuitive Surgical,"Sunnyvale, CA",,Are you passionate about applying state-of-the-art Deep Learning and Machine Learning techniques on Medical Image Analysis and be on the fast track to benefit...
Quantitative Research Analyst – Fixed Income - Credit,Franklin Templeton Investments,"San Mateo, CA 94403 (Sugerloaf area)",,Using attribution data to provide feedback to current strategies. Quantitative Research Analyst – Fixed Income - Credit-820026....
Sr. Data Engineer,FocusKPI Inc.,"Sunnyvale, CA",,Knowledge of data modeling for both data warehousing and Big Data. The Big Data Engineering team is responsible for building and maintaining the state-of-the...
Staff Business Data Analysis,Intuit,"Mountain View, CA 94039",,"We are seeking a Staff Analyst who will partner closely with Customer Success/Care leaders, product management, data engineering, data scientists and analysts..."
"Applied Research Scientist, Speech Recognition Language Modeling",Facebook,"Menlo Park, CA",,Create language models from large corpora of text data in different languages using Hadoop/Hive. Facebook is seeking a Speech Recognition Research Scientist to...
"Applied Research Scientist, Speech Recognition Acoustic Modeling",Facebook,"Menlo Park, CA",,Facebook is seeking Speech Recognition Research Scientist to join our Speech Team in Menlo Park. Optimizing acoustic model training procedures especially...
Systems Engineer - Sensors Machine Learning,Qualcomm,"Santa Clara, CA",,"Collecting field test data, as needed for these activities. Performing algorithm development, debugging, verification, and parameter tuning with simulated and..."
"Computational Biologist, Data Science Research",Counsyl,"South San Francisco, CA 94080",,We are seeking a computational biologist—anywhere in the spectrum from the mathematically inclined molecular biologist to the software savant with basic...
Data Engineer,Walmart eCommerce,"Sunnyvale, CA",,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
Data Engineer,Zipcar,"San Mateo, CA",,Data pipelines (e.g. Data processing frameworks (e.g. Contribute to data architecture and technology decisions with expert understanding of data engineering...
Staff Engineer – Machine Learning,Sumo Logic,"Redwood City, CA 94063",,Assessing needs and solutions for large-scale data infrastructure. Human experts interacting with and being assisted by powerful machine learning algorithms...
Research Scientist,Carbon3D,"Redwood City, CA 94063",,Strong analytical skills with good data tracking and presentation ability. We are looking for an extraordinary polymer scientist to develop novel materials for...
2018 Applied Scientist (Machine Learning),"A2Z Development Center, Inc.","Sunnyvale, CA",,"Experience with large data sets. PhD in Machine Learning, Data Mining, Statistics, Applied Mathematics, or a related field...."
