position,company,location,salary,summary
"D16-Vancouver, WA. Temporary Field Technician",National Ecological Observatory Network Inc,"Vancouver, WA 98683 (Bella Vista area)",,"Records data from sample collection; A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the..."
Sr. Software Product Manager,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
"RN Coordinator, Center for Hematologic Malingancy, FT",Oregon Health & Science University,"Portland, OR",,"The Clinical RN demonstrates the professional role obligations of scientist, leader, practitioner, and knowledge transferor [Onsomble Model of the Professional..."
"RN, Medicine, FT, Nights",Oregon Health & Science University,"Portland, OR",,Creating a therapeutic environment for this population includes establishing a therapeutic nurse-patient relationship that facilitates gathering critical...
Lead/Sr. Site Reliability Engineer,"Lithium Technologies, Inc.","Portland, OR 97209 (Pearl District area)",,Helping our engineers and data scientists build software that scales in terms of performance and stability. Lithium Technologies is an award winning privately...
Senior Business Systems Analyst (5220),Evo Solutions,"Portland, OR 97225 (West Slope area)",,"Work with data engineers, data scientists and data product managers on optimal data structures for efficiency of analysis...."
Software Project Manager - #29084,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
"RN- Medicine, Resource",Oregon Health & Science University,"Portland, OR",,Creating a therapeutic environment for this population includes establishing a therapeutic nurse-patient relationship that facilitates gathering critical...
HR Manager,CDK Global,"Portland, OR",,"Conducts exit interviews and shares data. From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light..."
Water Resources Project Engineer,Otak,"Vancouver, WA 98660 (Carter Park area)",,Experience with geomorphic field data collection and the associated equipment. Our scientists and water resource engineers have a reputation for sound knowledge...
Director Enterprise Data and Analytics (APLA - Asia Pacific Latin America) – Nike Technology,NIKE INC,"Portland, OR",,"Qualifications Bachelor's degree in Computer Science or Business Information Management 7+ years in data and analytics engineering, business, data science or..."
Process Engineering Technician II,3D Systems,"Wilsonville, OR",,Record experimental data in spreadsheets. Proficiency in Excel for data collection required. Follow written and verbal instructions from engineers and...
Sr .NET Software Engineer,VanderHouwen,"Portland, OR",,"Data Scientist knowledge, R, Statistical Analysis. *Not able to use 3rd party agencies**...."
Data Scientist - Advanced Analytics,eXcell,"Beaverton, OR 97005 (Central Beaverton area)",,"As a Data Scientist, you will collaborate with a team of data scientists, solutions delivery managers, engineers, and business stakeholders to enhance and..."
Data & Analytics Senior Business Systems Analyst (4 openings),Info Group NW,"Beaverton, OR",,"Work with data engineers, data scientists and data product managers on optimal data structures for efficiency of analysis...."
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","Portland, OR","$130,000 - $140,000 a year","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership..."
Big Data SysOps Applications Lead / Integration Lead (2 positions),Info Group NW,"Beaverton, OR",,Big Data experience:. Deploying and supporting Data Governance and Data Aggregation tools. Our team supports Big Data cloud infrastructure systems for over 500...
"Senior Data Scientist: Yield Management - Portland, OR",Vacasa,"Portland, OR 97211 (Concordia area)",,Gather necessary data. We are seeking data scientists who are passionate about matching people with a great home base for their vacations....
Marketing Research Analyst,DUNTHORPE MARKETING GROUP,"Portland, OR 97202 (Reed area)",$12 an hour,You will then capture and maintain this data and ensure records are accurate. JOIN OUR TEAM!*....
Platform Data Engineer,Info Group NW,"Beaverton, OR",,"Designing tables, schemas, etc. specific to allowing data scientists and researchers to query and analyze the data. Platform Data Engineer...."
"Platform Operations Tech Lead (Hadoop, AWS, DevOps)",Info Group NW,"Beaverton, OR",,Our team supports Big Data cloud infrastructure to over 500 internal engineering and technical business users (Data Scientists and Analysts)....
"Senior Analyst, Load Research (R17-196)",Portland General Electric,"Wilsonville, OR",,"Maintain large databases and data sets. Manipulate, transform and cleanse large data sets. Produce customer load profiles from hourly and higher frequency (e.g...."
Senior Data Scientist,Brainworks,"Portland, OR",,"Working with team of data scientists, delivery managers, and engineers. 3-7+ years of experience in Data Science...."
Associate Scientist I,AbSci,"Vancouver, WA 98660 (Carter Park area)",,"Associate Scientist, Molecular Sciences. The Associate Scientist, under direction of Senior Scientists, will play a significant role in the further development..."
Senior R & D Branded Scientist,PointOne Recruiting,"Portland, OR","$92,000 - $115,000 a year",Senior R &D Branded Scientist - Oregon*. Scientist provides statistical information for product development by identifying testing methods & samples for our...
Team Lead Software Engineer: Yield Management,Vacasa,"Portland, OR 97211 (Concordia area)",,"Experience with Data Science and/or working with Data Scientists. Interest in data science problems, and a basic knowledge of key data science concepts...."
Chief Medical/Scientific Officer,Acumen Executive Search,"Lake Oswego, OR 97035",,Clinical Data translation is critical. Professionally handle and protect sensitive test data. Have experience establishing clinical data strategy and...
