position,company,location,salary,summary
"Software Engineer, VIPER",Comcast,"Denver, CO 80202 (Lodo area)","Estimated salary: $120,000 - $152,000 a year","Software architects, network engineers, big data scientists, player developers, content security specialists, and various streaming video technologists...."
Data Scientist Snr Manager,Oracle,"Broomfield, CO",,Data Scientist Snr Manager-1700142B. 3+ years in leadership/management of data science/analytic team. Create processes to calibrate any external data with...
"Sr App Dev, Dynamic Exp.",Spectrum,"Greenwood Village, CO",,"Software architects, web application engineers, big data scientists, operation engineers, and various entities from network security...."
"Manager, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Regulatory Affairs Coordinator,University of Colorado,"Aurora, CO",,Participates in Data Safety Monitoring Committee (DSMC) internal audits. Our division has physicians and advanced practice providers who are devoted primarily...
Engineer IV – DoD Initiatives,National Renewable Energy Laboratory,"Golden, CO",,Perform site assessments and data collection for the creation of electrical drawings and models. Implement and manage project control systems and metrics and...
Sr. Copy Writer,Aetna,"Denver, CO",,Collaborate with our UX researchers and data scientists to understand user behaviors and uncover new opportunities for engagement....
"Senior Associate, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
"Manager, Data Analytics",KPMG,"Denver, CO 80202 (Lodo area)",,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that..."
Global VP (Semiconductor Business),TransReach,"Golden, CO",,"Drives, and supports with data, internal decision making on long term growth investments including capital equipment and R&D programs...."
"Senior Software Engineer, Video Insights and Analysis",Comcast,"Denver, CO 80202 (Lodo area)",,Partner with data scientists to productionize machine learning algorithms. Excited about data visualization and telling a story with data....
Geotechnical Engineer - Denver,"Wiss, Janney, Elstner Associates","Denver, CO",,"Ability to record data clearly and write reports, letters, etc. Analyzes research and investigation data and develops alternate schemes for solving problems...."
Planner I - Manufacturing (661476),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Production Control Center Scheduler (662358),Ball Aerospace,"Broomfield, CO",,"Collect and verify production data and calculate statistical data for use in reports. Check and post data to production logs, records, or reports...."
Sr. Asset Management Consultant,HDR,"Denver, CO 80202 (Lodo area)",,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
"Director, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, prepare, and process a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Research Firmware Engineer,Honeywell,"Broomfield, CO 80021",,"Demonstrated understanding of centralized and distributed data storage, managing data access latency, and databases...."
Supvr Laboratory,UCHealth,"Aurora, CO",,"Middleware – WAM 5.0, Remisol, Data Innovations, CentraLink. Graduate of an accredited Medical Technologist or Medical Lab Scientist program...."
Coord Laboratory,UCHealth,"Aurora, CO",,Bachelor's degree in related field and graduate of an accredited Medical Technologist or Medical Laboratory Scientist program....
Principal Data Scientist - Audience Target Team,Oracle,"Broomfield, CO",,Principal Data Scientist - Audience Target Team-170017IX. Acting as a source of knowledge and mentorship for junior data scientists....
Administrative Associate III (662029),Ball Aerospace,"Broomfield, CO",,"Gather and interpret data; Prepare various schedules and perform data entry, etc. Our team of more than 3,000 engineers, scientists, technicians and support..."
"Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Tactical decision-making ability using sound scientific principles and data analytics. Job Description & Requirements....
Sr Manager - Model Risk Management,Charles Schwab,"Lone Tree, CO 80124",,"Manager will work with Data Scientists, Statisticians, and Analysts to ensure that all statistically based models are in compliance with the model lifecycle..."
"Sr. Manager, Video Platform Analytics",Comcast,"Denver, CO 80202 (Lodo area)",,"The person in this position will lead a highly skilled engineering team that includes data engineers, data analysts, data scientists, testers, and DevOps..."
Sr. Market Research Analyst,TSYS,"Broomfield, CO",,"Data visualization tools such as Tableau. Works independently to analyze marketing data, interpret it for brand impact and report to management on implications..."
Associate Mission Systems Analyst (661328),Ball Aerospace,"Westminster, CO",,"Participate in test data collection and evaluation. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements..."
Sr. Business Intelligence Project Manager,Chipotle Mexican Grill,"Denver, CO 80202 (Lodo area)",,"Manage portfolio of BI projects, leading a team of data engineers, data architect, data analysts, data scientists, business owners and subject matter experts..."
Air Quality Field Engineer or Scientist (Denver),ERM,"Denver, CO",,"ERM is seeking a hands-on Air Quality Field Engineer or Scientist looking for a career opportunity based out of our Denver, Colorado office...."
