position,company,location,salary,summary
Data Scientist Snr Manager,Oracle,"Broomfield, CO",,Data Scientist Snr Manager-1700142B. 3+ years in leadership/management of data science/analytic team. Create processes to calibrate any external data with...
Business Intelligence Intern (661821),Ball Aerospace,"Lafayette, CO",,"Collect, integrate, analyze and visualize data using a variety of data analytics and visualization tools. Increasingly businesses understand that one of their..."
Professional Research Asst,University of Colorado,"Boulder, CO",,Experience with modern particle detectors and data analysis techniques. Research Scientist Position on CMS at the University of Colorado Boulder....
2018 Unidata Summer Internship,UCAR,"Boulder, CO",,"Work to enhance Unidata scientific data access and distribution software products, e.g., THREDDS Data Server (TDS) and netCDF...."
Research Scientist,CACI,"Aurora, CO 80010 (Delmar Parkway area)",,"Possess excellent data gathering, analytical, and problem solving skills. BIT Systems Inc...."
Animal Care Tech I,University of Colorado,"Boulder, CO","$28,000 - $29,000 a year",Experience entering and manipulating data in a database. You will also provide routine and specialized care for a variety of species of small laboratory animals...
"Scientist 5, Enterprise Data & Analytics",Comcast,"Englewood, CO 80112",,"Preferred.- Experience with machine learning, deep learning, data mining, and/or statistical analysis tools and how to adapt and customize the underlying..."
Computer Scientist (DHA),Department of Commerce,"Boulder, CO","$65,228 - $101,641 a year",Computer Research Scientists. Computer And Information Research Scientists. This vacancy may be used to fill other Computer Scientist positions at the Institute...
Research Scientist,CACI,"Aurora, CO 80010 (Delmar Parkway area)",,"Possess excellent data gathering, analytical, and problem solving skills. BIT Systems Inc...."
PRA - QC Analyst,University of Colorado,"Aurora, CO",,"As needed, assist development scientists and operations with technical/operational support. Excellent communication skills in both written as well as..."
Prospect Research and Data Analyst,Nurse Family Partnership,"Denver, CO 80203 (Capitol Hill area)",,"This position will ensure that frontline fundraisers on our regional, institutional, and individual giving teams have the data and information that they need to..."
Data Scientist - Media,Spectrum,"Greenwood Village, CO",,"TWCBDA347 Data Scientist Exempt. Passionate about data maintenance, data quality control and all other important data analysis techniques...."
Operations Research Systems Analyst,Leidos,"Englewood, CO 80111",,Description: Job Summary: Leidos has a opening for a Operations Research Analyst in Englewood Colorado . Candidate will conduct operations research on...
Office Assistant,National Ecological Observatory Network Inc,"Boulder, CO",,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers..."
"Software Engineer, VIPER",Comcast,"Denver, CO 80202 (Lodo area)",,"Software architects, network engineers, big data scientists, player developers, content security specialists, and various streaming video technologists...."
Clinical Laboratory Scientist I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,"Performs error correction, photocopy and data entry and compilation as required. Collects and organizes data before initiating analysis and asks questions to..."
Postdoctoral Scientist,University of Colorado,"Aurora, CO",,"Patch-clamp electrophysiology data acquisition and analysis. Creative, independent and motivated Postdoctoral Scientist sought to lead a collaborative NIH..."
Production Control Center Scheduler (662358),Ball Aerospace,"Broomfield, CO",,"Collect and verify production data and calculate statistical data for use in reports. Check and post data to production logs, records, or reports...."
Measurement Science,"Muse Biotechnology, Inc.","Boulder, CO",,Support process development by interpreting data and providing guidance for process optimization. We are looking for a highly talented Scientist to be a key...
Research Firmware Engineer,Honeywell,"Broomfield, CO 80021",,"Demonstrated understanding of centralized and distributed data storage, managing data access latency, and databases...."
Clinical Laboratory Scientist Lead,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,"And preparing patient data for reporting. Compiles customized data for clients/studies as directed. For studies, may work on data compilation and writing..."
Habitat Team Spring Intern,Environmental Defense Fund,"Boulder, CO 80302",$14.28 an hour,"Help design, and input data methodically in a Google spreadsheet. Work closely with staff scientists shape the research questions and analysis for this project...."
Cell Biology & Translational Medicine Scientist,Array BioPharma,"Boulder, CO 80301",,"Plans, designs and initiates studies, and analyzes the data. Generates in-vitro data that support investigational new drug filings for product candidates...."
"Manager, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Principal Data Scientist - Audience Target Team,Oracle,"Broomfield, CO",,Principal Data Scientist - Audience Target Team-170017IX. Acting as a source of knowledge and mentorship for junior data scientists....
CdTe Thin-Film Materials Processing Engineer,National Renewable Energy Laboratory,"Golden, CO",,Performing work reproducibly with high degree of quality and reliability Recording data in computer databases ....
Science Writer/Media Relations Professional,University of Colorado,"Boulder, CO",,"And data visualization. Identify stories of wide public interest for news packaging by meeting with campus scientists to discuss latest research efforts, and..."
Data Scientist,Allegiance Consulting,"Denver, CO",,Our client is looking for several Data Scientists for a minimum 6-month project in South Denver. Adept at Data Wrangling /Data Munging....
Sr. Research Associate/Research Scientist/Scientist I - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
Sr. Copy Writer,Aetna,"Denver, CO",,Collaborate with our UX researchers and data scientists to understand user behaviors and uncover new opportunities for engagement....
Knowledge Management Analyst,National Ecological Observatory Network Inc,"Boulder, CO",,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers..."
Material Control Analyst I (662024),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Scientist I/II - Bioinformatics 2017-166,"SomaLogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
Scientist I/II - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
"Senior Associate, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
"Manager, Data Analytics",KPMG,"Denver, CO 80202 (Lodo area)",,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that..."
Global Commercial Senior Director Automotive,TransReach,"Golden, CO",,"Drives, and supports with data, internal decision making on long term growth investments including capital equipment and R&D programs...."
Associate Mission Systems Analyst (661328),Ball Aerospace,"Westminster, CO",,"Participate in test data collection and evaluation. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements..."
RESEARCH SCIENTIST - OUTER SOLAR SYSTEM,Southwest Research Institute,"Boulder, CO",,"Experience is data analysis of spacecraft data, IDL and other scientific coding languages, ice science (laboratory, in situ or remote), peer-reviewed journal..."
Quality Control Manager,Bristol Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Quality Control Manager,Bristol Alliance of Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Sr. Office Assistant,National Ecological Observatory Network Inc,"Boulder, CO",,"Gather and research data to create reports as needed for designated teams. A 30+ year project dedicated to understanding how changes in climate, land use and..."
PostDoctoral Associate,University of Colorado,"Boulder, CO",,"Applicants must complete the Faculty/University Staff and EEO Data (application) form, and upload the following required documents:...."
Analyst II-Project Controls (661697),Ball Aerospace,"Boulder, CO",,Compile and analyze Sales Forecast data and cost estimating data. Organize cost and/or schedule data for monthly/quarterly program reviews....
Administrative Associate III (662029),Ball Aerospace,"Broomfield, CO",,"Gather and interpret data; Prepare various schedules and perform data entry, etc. Our team of more than 3,000 engineers, scientists, technicians and support..."
Postdoctoral Researcher - Computational Modeling of Catalysis,National Renewable Energy Laboratory,"Golden, CO",,"Fluency in at least one scientific programming stack (Python/R/MATLAB), including techniques for data manipulation and machine learning...."
Administrative Associate III-Travel (662165),Ball Aerospace,"Lafayette, CO",,"Accounting skills for reconciliations, accruals and daily data analyses with a strong competence in Microsoft Office, especially Excel...."
"Senior Software Engineer, Video Insights and Analysis",Comcast,"Denver, CO 80202 (Lodo area)",,Partner with data scientists to productionize machine learning algorithms. Excited about data visualization and telling a story with data....
Engineer I-Mission Systems Analyst (662223),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Sr. Market Research Analyst,TSYS,"Broomfield, CO",,"Data visualization tools such as Tableau. Works independently to analyze marketing data, interpret it for brand impact and report to management on implications..."
Associate Range Engineer (662328),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Industrial Engineer (661975),Ball Aerospace,"Westminster, CO",,"Identify and implement ways to automate data collection and analysis. Our team of more than 3,000 engineers, scientists, technicians and support staff drives..."
Associate Structural Engineer (661396),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Embedded Software Engineer I (662365),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Administrative Associate II (661909) - Current security clearance required,Ball Aerospace,"Broomfield, CO",,"Gather and interpret data; Prepare various schedules and perform data entry, etc. Our team of more than 3,000 engineers, scientists, technicians and support..."
"Director, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, prepare, and process a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Geotechnical Engineer - Denver,"Wiss, Janney, Elstner Associates","Denver, CO",,"Ability to record data clearly and write reports, letters, etc. Analyzes research and investigation data and develops alternate schemes for solving problems...."
"Director, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, prepare, and process a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Sr. Market Research Analyst,TSYS,"Broomfield, CO",,"Data visualization tools such as Tableau. Works independently to analyze marketing data, interpret it for brand impact and report to management on implications..."
Sr. Asset Management Consultant,HDR,"Denver, CO 80202 (Lodo area)",,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
Engineer I-Mission Systems Analyst (662223),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Embedded Software Engineer I (662365),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Administrative Associate II (661909) - Current security clearance required,Ball Aerospace,"Broomfield, CO",,"Gather and interpret data; Prepare various schedules and perform data entry, etc. Our team of more than 3,000 engineers, scientists, technicians and support..."
Postdoctoral Researcher - Scientific Visualization,National Renewable Energy Laboratory,"Golden, CO",,"The Data, Analysis and Visualization group in NREL’s Computational Science Center has an immediate opening for a Postdoctoral Computational Scientist to pursue..."
2018 Graduate Student Internship-SIParCS Program Intern,UCAR,"Boulder, CO",,SIParCS students serve as paid interns at NCAR’s Computational & Information Systems Lab (CISL) that provides supercomputing and data services for scientists...
Software Engineer/Programmer II,UCAR,"Boulder, CO","$70,449 - $88,061 a year","And interacts with users, scientists and data providers to build user centered products. Integrates technology within complex data information systems;..."
Predictive Modeling Analyst,Vencore,"Aurora, CO",,"Ability to analyze multiple data sets and to present cohesive analysis findings. Vencore is a proven provider of information solutions, engineering and..."
D2V Scholar,University of Colorado,"Aurora, CO",,"Additionally, scholars will have theopportunity to engage in existing CU programs, providing unique experiences in scientific research areas including..."
"Professional, Geospatial Operations: Solutions Specialist",CoreLogic,"Boulder, CO 80301",,"Experience with large data sets. This position also collaborates with our scientists, data modelers, and analysts to perform complex spatial analysis along with..."
Financial Analyst,National Ecological Observatory Network Inc,"Boulder, CO",,"Reconcile transactions by comparing and correcting data. A 30+ year project dedicated to understanding how changes in climate, land use and invasive species..."
In Process Quality Inspector (660994),Ball Aerospace,"Westminster, CO",,"Familiarity with basic computer usage for data entry and required employee interaction (i.e. Our team of more than 3,000 engineers, scientists, technicians and..."
"Senior Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Strategic and tactical decision-making ability using sound scientific principles and data analytics. As a team member of the largest dairy company in the U.S....
Sr Deep Learning Software Engineer,NVIDIA,"Boulder, CO 80302",,"Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction...."
Material Planner (661698),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Machinist Prototype-Wire EDM (662155) - 2nd Shift,Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Machinist Prototype-CNC 2nd Shift (661604),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
QC Inspector III - CMM & Procured Inspection (661026),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Machinist I (660885),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
"Administrative Intern-Environmental, Health & Safety (661485)",Ball Aerospace,"Boulder, CO",,"Provide health & safety-related statistical data to BATC employees, including management personnel, as required...."
Associate Optical Engineer - Spatial Metrology (662163),Ball Aerospace,"Boulder, CO",,"Experience with basic data analysis. Work with teams of engineers performing optical system development, integration, alignment, and data analysis...."
Malware Threat Research Analyst,Webroot,"Broomfield, CO",,You are an information security/malware professional looking to contribute to an innovative and collaborative environment. You have a passion for the thrill...
Postdoctoral Researcher – CIGS Photovoltaic Materials and Devices,National Renewable Energy Laboratory,"Golden, CO",,"This is a collaborative and team-based project, with opportunities to work with scientists from NREL, academia, and industry...."
"Sr. Manager, Video Platform Analytics",Comcast,"Denver, CO 80202 (Lodo area)",,"The person in this position will lead a highly skilled engineering team that includes data engineers, data analysts, data scientists, testers, and DevOps..."
Air Quality Field Engineer or Scientist (Denver),ERM,"Denver, CO",,"ERM is seeking a hands-on Air Quality Field Engineer or Scientist looking for a career opportunity based out of our Denver, Colorado office...."
Production Control Expeditor (661737),Ball Aerospace,"Boulder, CO",,"Collect and verify production data for use in reports. Check and post data to production logs, records, or reports...."
Financial Analyst II-Government Compliance Accountant/Auditor (661744),Ball Aerospace,"Lafayette, CO",,"Develop incurred cost claim schedules, analyze data and clearly report findings in a timely manner. Our team of more than 3,000 engineers, scientists,..."
Sr. Business Intelligence Project Manager,Chipotle Mexican Grill,"Denver, CO 80202 (Lodo area)",,"Manage portfolio of BI projects, leading a team of data engineers, data architect, data analysts, data scientists, business owners and subject matter experts..."
Technical Writer Intern (661823),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
STEM Manager,Goodwill Industries of Denver,"Denver, CO",,Monitors the quality of the data submitted through participation in monthly audits of their data with the Program Monitoring and Evaluation (PME) department....
Associate Scientist - Product Development,Leprino Foods,"Denver, CO 80211 (Highland area)",,"Run Design of Experiment (DOE), collect, process and analyzes data using software; The Associate Product Development Scientist will manage internal and external..."
Sr. Project Controls Analyst - Scheduling (662169),Ball Aerospace,"Boulder, CO",,"Recommend and maintain any additional historical data bases pertinent to assigned business unit. Our team of more than 3,000 engineers, scientists, technicians..."
Principal Contamination Control Analyst (660886),Ball Aerospace,"Boulder, CO",,"Hands-on experience with cleanroom practices, vacuum baking, material outgassing data bases, and material selection...."
"Product Manager, Measurement & Insights - Data Cloud",Oracle,"Broomfield, CO",,"Data visualization is a pet peeve, or at least something that bothers you when it’s done poorly, but you don’t think of yourself as a full-fledged data..."
Regulatory Affairs Coordinator,University of Colorado,"Aurora, CO",,Participates in Data Safety Monitoring Committee (DSMC) internal audits. Our division has physicians and advanced practice providers who are devoted primarily...
Planner-Supply Chain Management (660236),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
RF Technician I (662236),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Project Ecosystem Restoration Engineer,SWCA Environmental Consultants,"Broomfield, CO",,You will receive senior guidance and mentoring from two nationally-recognized stream restoration engineers as well as provide the same to staff engineers and...
"Sr App Dev, Dynamic Exp.",Spectrum,"Greenwood Village, CO",,"Software architects, web application engineers, big data scientists, operation engineers, and various entities from network security...."
Property Administrator I (662235),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Engineer Associate - Systems Test (662266),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Engineer Associate-Space Systems (661828),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
"D10/13-Boulder, CO. Temporary Field Technician",National Ecological Observatory Network Inc,"Boulder, CO",,"Records data from sample collection; A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the..."
Technician II-Production Test (661027),Ball Aerospace,"Westminster, CO",,"Will collect and analyze computer data and make data based decisions. Monitor, analyze, reduce and record data;..."
RF Range Technician II (662041),Ball Aerospace,"Westminster, CO",,"Monitor, analyze, reduce and record data; Process and plot required Range data files as defined. Our team of more than 3,000 engineers, scientists, technicians..."
Range Technician II (661517),Ball Aerospace,"Westminster, CO",,"Monitor, analyze, reduce and record data; Process and plot required Range data files as defined. Our team of more than 3,000 engineers, scientists, technicians..."
