position,company,location,salary,summary
Environmental Department Manager I,Terracon,"Portland, OR 97222 (Milwaukie Business-Industry area)",,"Mentor, supervise, and oversee staff environmental scientists and technicians. Experienced in evaluating, and synthesizing complex laboratory and field data,..."
"Manager, Development",CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Chemistry Manager,NIKE INC,"Portland, OR",,This Senior Scientist role is in the Chemistry Center of Excellence and will report to the Director of Chemistry....
Regional Hatchery Operations and Reform Manager *11053-17,State of Washington,"Ridgefield, WA","$5,416 - $7,083 a month","Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences...."
Advanced Technology - Principal Investigator in Semiconductor Lasers,nLIGHT,"Vancouver, WA",,"Provide mentorship to junior engineers and scientists throughout the company. Solid analytical and problem-solving skills, including problem identification,..."
Site Reliability Engineer,"Lithium Technologies, Inc.","Portland, OR 97209 (Pearl District area)",,Helping our engineers and data scientists build software that scales in terms of performance and stability. Site Reliability Engineer (Tooling)....
Model Governance Manager - Portland,Umpqua Bank,"Portland, OR",,"8 years in banking, financial services, or consulting as a Data Scientist, Statistician, Quantitative Risk Analyst, Model Developer, Model Validator, or similar..."
Advanced Technology - Principal Investigator in Semiconductor Lasers,nLIGHT,"Vancouver, WA",,"Provide mentorship to junior engineers and scientists throughout the company. Solid analytical and problem-solving skills, including problem identification,..."
Operations Graduate Intern,NIKE INC,"Beaverton, OR",,Advanced analytics professionals who are data scientists and have the ability to elevate decision making though data driven and quantitative insights....
"Sr. Product Manager, eBay Assistant/Bot",eBay Inc.,"Portland, OR",,You will translate the roadmap into user stories/requirements & work with a team of talented engineers and data scientist to execute....
Facilities Storekeeper,BOEING,"Portland, OR",,"Skilled scientists and thinkers. Perform data entry and systems updating required to order, receive, distribute and ship goods...."
Professional Wetland Scientist,"Hart Crowser, Inc.","Portland, OR 97239 (Homestead area)",,"Professional Wetland Scientist (PWS) license; Write technical reports, collect data, and conduct survey field work...."
Senior Back-End Engineer,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Medical Technologist,Providence Health & Services,"Oregon City, OR 97045",,"Be capable of performing pre-analytical, analytical and post-analytical duties including specimen evaluation, data analysis, and instrument maintenance and..."
Research Analyst,Office Advantage (Div. of BeginRight Empl. Svc.),"Portland, OR 97211 (Concordia area)",$24.50 an hour,"Systems, material, information and data and supports the execution of departmental initiatives and plans...."
"D16-Vancouver, WA. Temporary Field Technician",National Ecological Observatory Network Inc,"Vancouver, WA 98683 (Bella Vista area)",,"Records data from sample collection; A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the..."
"Director, Product Management, Advanced Analytics & Machine Learning - Nike Technology",NIKE INC,"Beaverton, OR",,"5+ years in data and analytics engineering, data science, advanced analytics, data science or data product owner roles Hands on product management experience..."
Big Data SysOps Applications Lead (5506,Evo Solutions,"Portland, OR 97225 (West Slope area)",,Big Data experience:. Deploying and supporting Data Governance and Data Aggregation tools. Our team supports Big Data cloud infrastructure systems for over 500...
Senior Data Product Manager,NIKE INC,"Beaverton, OR",,"With data scientists and data analysts on optimal data structures for. Ingestion, data cleansing, data quality, analytic processing, BI, and data...."
Senior User Experience (UX) Designer,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Water Resources Project Engineer,Otak,"Vancouver, WA 98660 (Carter Park area)",,Experience with geomorphic field data collection and the associated equipment. Our scientists and water resource engineers have a reputation for sound knowledge...
Big Data SysOps Applications Lead,VanderHouwen,"Beaverton, OR",,"Lead and support project work to implement solutions for data science systems, data governance, and data aggregation tools that integrate with our existing big..."
"Director, Development",CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Senior Mechanical Engineer,Thermo Fisher Scientific,"Hillsboro, OR 97124",,"Reporting to the ME Manager, the Mechanical Engineer I/II will work closely with engineers and scientists of diverse backgrounds to design mechanical components..."
"RN Coordinator, Center for Hematologic Malingancy, FT",Oregon Health & Science University,"Portland, OR",,"The Clinical RN demonstrates the professional role obligations of scientist, leader, practitioner, and knowledge transferor [Onsomble Model of the Professional..."
Big Data SysOps Applications Lead,VanderHouwen,"Beaverton, OR",,"Lead and support project work to implement solutions for data science systems, data governance, and data aggregation tools that integrate with our existing big..."
Senior Mechanical Engineer,Thermo Fisher Scientific,"Hillsboro, OR 97124",,"Reporting to the ME Manager, the Mechanical Engineer I/II will work closely with engineers and scientists of diverse backgrounds to design mechanical components..."
Lead/Sr. Site Reliability Engineer,"Lithium Technologies, Inc.","Portland, OR 97209 (Pearl District area)",,Helping our engineers and data scientists build software that scales in terms of performance and stability. Lithium Technologies is an award winning privately...
Software Project Manager - #29084,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Senior Business Systems Analyst (5220),Evo Solutions,"Portland, OR 97225 (West Slope area)",,"Work with data engineers, data scientists and data product managers on optimal data structures for efficiency of analysis...."
"RN- Medicine, Resource",Oregon Health & Science University,"Portland, OR",,Creating a therapeutic environment for this population includes establishing a therapeutic nurse-patient relationship that facilitates gathering critical...
HR Manager,CDK Global,"Portland, OR",,"Conducts exit interviews and shares data. From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light..."
Director Enterprise Data and Analytics (APLA - Asia Pacific Latin America) – Nike Technology,NIKE INC,"Portland, OR",,"Qualifications Bachelor's degree in Computer Science or Business Information Management 7+ years in data and analytics engineering, business, data science or..."
Process Engineering Technician II,3D Systems,"Wilsonville, OR",,Record experimental data in spreadsheets. Proficiency in Excel for data collection required. Follow written and verbal instructions from engineers and...
Sr .NET Software Engineer,VanderHouwen,"Portland, OR",,"Data Scientist knowledge, R, Statistical Analysis. *Not able to use 3rd party agencies**...."
Data Scientist - Advanced Analytics,eXcell,"Beaverton, OR 97005 (Central Beaverton area)",,"As a Data Scientist, you will collaborate with a team of data scientists, solutions delivery managers, engineers, and business stakeholders to enhance and..."
