position,company,location,salary,summary
Decision Scientist,Facebook,"Menlo Park, CA",,Statistical and data analysis/modeling skills (e.g. 5+ years of experience in data analysis. We are seeking a talented analyst who thrives at the Intersection...
Data Engineer,"Tensyr, Inc.","Mountain View, CA 94043",,Prototype and build data analysis pipelines iteratively to provide insights on data from various sensors....
Data Engineer,Khan Academy,"Mountain View, CA",,Data Science team blog. You’ll need to understand the product implications of data transformations or A/B test conversions and be able to convey uncertainties...
Data Engineer,Zipcar,"San Mateo, CA",,Data pipelines (e.g. Data processing frameworks (e.g. Contribute to data architecture and technology decisions with expert understanding of data engineering...
"Decision Scientist, Marketing (WhatsApp)",Facebook,"Menlo Park, CA",,"The role will report into the director marketing and tap into a part of company-wide community of data scientists, data engineers and analysts:...."
Deep-Learning Researcher,Intellipro Group Inc.,"Mountain View, CA",,Work closely with data scientists and product managers to define and design system architectures. Can work with scientists and product managers smoothly....
Sr Data Scientist - 47178BR,Aetna,"San Francisco, CA",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
Principal Member of Technical Staff - Machine Learning,Oracle,"Redwood City, CA",,"It also provides comprehensive reporting capabilities by consolidating audit data from databases, operating systems, directories, and other sources...."
"Director, Engineering - Artificial Intelligence & Machine Learning",Sizmek,"Redwood City, CA",,How do you use the rich data we have about users to make predictions? Sizmek’s technology platform supports a real-time bidding system that handles over 100...
Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Familiar with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning / data..."
"Statistician, Demand Planning",Tesla Motors,"Fremont, CA",,"ERP/WRP systems, SQL, and data visualization programs such as Tableau are preferred. Communicate with Production, Procurement, Logistics, Reliability..."
Data Science Analyst - Periscope,McKinsey & Company,"San Jose, CA",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
DATA SCIENTIST,"GRAIL, Inc.","Menlo Park, CA",,"(e.g., as a statistician / data scientist / computational biologist / bioinformatician). (e.g., as a statistician / data scientist / computational biologist)..."
Machine Learning Applied Research Scientist (University),Adobe,"San Jose, CA",,"Knowledge of Spark, big data processing, Hadoop. Work on building state of the art machine learning models leveraging data mining, big data, deep learning,..."
Data Management Specialist,Stanford University,"Stanford, CA 94305",,"Lead the implementation of data standards and common data elements for data collection. The QSU is seeking a highly motivated, hard-working and professional..."
Machine Learning Engineer,imo.im,"Palo Alto, CA 94306 (Barron Park area)",,"Data plan reimbursement. Imo is a global messaging platform based in Palo Alto, California, and was founded and funded by one of the first ten employees at..."
"Quantitative Researcher, Growth",Facebook,"Menlo Park, CA",,"Knowledge in data manipulation and analysis (R/SAS/Stata, SQL/Hive). Knowledge in quantitative research methodologies (e.g., survey sampling and design,..."
Senior Statistician,AstraZeneca,"Redwood City, CA 94065",,Collaborate with data management and clinical operations over the course of trials to provide statistical input to study conducts and database development as...
Principal Data Engineer,YuMe,"Redwood City, CA 94063",,Design and build data pipelines solutions to process large amounts of data using the latest Big Data technologies....
Sr Data Scientist,Tesla Motors,"Fremont, CA",,"Experience with big data frameworks such as Hadoop/Spark and SQL. Design and implement big data workflows using Python, SQL, Hadoop, Spark, Matlab and R...."
Senior Staff Clinical Data Scientist,"GRAIL, Inc.","Menlo Park, CA",,Participate in data quality review activities and efforts to resolve data quality issues. Develop and manage interactive data visualization and analytic tools...
Data Scientist,Verizon,"Palo Alto, CA 94301 (Professorville area)",,Guiding a group of junior algorithm developers and data scientists with the best practices of software engineering....
Data Scientist,Mojio,"Palo Alto, CA",,"Providing data insight from massive amounts of data using data cleaning, data visualization, and statistical analysis tools and techniques...."
