position,company,location,salary,summary
Deep-Learning Researcher,Intellipro Group Inc.,"Mountain View, CA",,Work closely with data scientists and product managers to define and design system architectures. Can work with scientists and product managers smoothly....
DATA SCIENTIST,"GRAIL, Inc.","Menlo Park, CA",,"(e.g., as a statistician / data scientist / computational biologist / bioinformatician). (e.g., as a statistician / data scientist / computational biologist)..."
Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Familiar with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning / data..."
2018 Applied Scientist (Machine Learning),"A2Z Development Center, Inc.","Sunnyvale, CA",,"Experience with large data sets. PhD in Machine Learning, Data Mining, Statistics, Applied Mathematics, or a related field...."
Data Scientist/Analytics Engineer (Machine Learning and Big Data),FICO,"San Jose, CA 95110 (Downtown area)",,"This includes the analysis of large amounts of historical data, determining suitability for modeling, data clean-up and filtering, pattern identification and..."
"Quantitative Researcher, Growth",Facebook,"Menlo Park, CA",,"Knowledge in data manipulation and analysis (R/SAS/Stata, SQL/Hive). Knowledge in quantitative research methodologies (e.g., survey sampling and design,..."
Machine Learning Engineer,Xilinx,"San Jose, CA 95124 (Cambrian Park area)",,"Reduce computational complexity by model optimization, computation using lower precision arithmetic, data flow reordering for memory bandwidth optimizations...."
"Curriculum Developer, Deep Learning Institute",NVIDIA,"Santa Clara, CA",,"Developing effective curriculum and training content for data scientists, researchers, and engineers. The work involves collaborating with internal and external..."
Machine Learning Engineer,imo.im,"Palo Alto, CA 94306 (Barron Park area)",,"Data plan reimbursement. Imo is a global messaging platform based in Palo Alto, California, and was founded and funded by one of the first ten employees at..."
"Sr. Data Scientist, Service Operations",Tesla Motors,"Fremont, CA",,"We are looking for a Data Scientist for the most progressive vehicle brand in the world. As a Data Scientist in Service, you will have the opportunity to apply..."
Sr. Staff Data Scientist,Intellipro Group Inc.,"Santa Clara, CA 95050",,"We are seeking a highly motivated data scientist to work on log analytics, anomaly detection, and causal analysis...."
Senior Staff Clinical Data Scientist,"GRAIL, Inc.","Menlo Park, CA",,Participate in data quality review activities and efforts to resolve data quality issues. Develop and manage interactive data visualization and analytic tools...
Systems Engineer - Sensors Machine Learning,Qualcomm,"Santa Clara, CA",,"Collecting field test data, as needed for these activities. Performing algorithm development, debugging, verification, and parameter tuning with simulated and..."
Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Data Scientist,Burgeon IT Services,"Sunnyvale, CA",,"Experience with data visualisation tools, such as D3.js, GGplot, etc. Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,..."
Data Scientist,Burgeon IT Services,"Sunnyvale, CA",,"Experience with data visualisation tools, such as D3.js, GGplot, etc. Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,..."
Data Scientist,Stanford University,"Stanford, CA 94305",,Industry experience as a data scientist. Implement data analysis through statistical programming. The Data Scientist (Biostatistician 2) will with some...
Data Scientist,Verizon,"Palo Alto, CA 94301 (Professorville area)",,Guiding a group of junior algorithm developers and data scientists with the best practices of software engineering....
Data Scientist,Mojio,"Palo Alto, CA",,"Providing data insight from massive amounts of data using data cleaning, data visualization, and statistical analysis tools and techniques...."
Data Scientist,SAP,"Palo Alto, CA",,Implement most recent algorithms and approaches for machine learning in collaboration with our data scientists and researchers....
